============================================================
  隔夜八步法策略回测
  初始资金: 10万元 | 止盈+2% | 止损-2%
============================================================
步骤1: 从数据库加载数据(服务端游标分批)...
  已加载 100000 条...
  已加载 200000 条...
  已加载 300000 条...
  已加载 400000 条...
  已加载 500000 条...
  已加载 600000 条...
  已加载 700000 条...
  已加载 800000 条...
  已加载 900000 条...
  已加载 1000000 条...
  已加载 1011593 条...
  加载完成: 1011591 条, 5197 只, 耗时68.5s
  日期: 2025-01-02 ~ 2026-05-15
步骤2: 计算MA5...
  MA5完成, 耗时2.7s
步骤3: 计算量比...
  量比完成, 耗时2.0s
步骤4: 计算连板...
  连板完成, 耗时7.4s
  量比覆盖: 985571/1011591 (97.4%)
  MA5覆盖: 985629/1011591 (97.4%)

################################################################################
  回测模式: 只买稳健池(涨幅3%-6%)
################################################################################
  总交易日: 327
  2025-11-10→2025-11-11 | 5只 | 盈亏+546.80 | 资金81,469.30
  2025-11-11→2025-11-12 | 5只 | 盈亏-240.04 | 资金81,229.26
  2025-11-12→2025-11-13 | 5只 | 盈亏+819.36 | 资金82,048.62
  2025-11-13→2025-11-14 | 5只 | 盈亏+222.70 | 资金82,271.32
  2025-11-14→2025-11-17 | 5只 | 盈亏-4.16 | 资金82,267.16
  2025-11-17→2025-11-18 | 5只 | 盈亏-940.30 | 资金81,326.86
  2025-11-18→2025-11-19 | 5只 | 盈亏-1,533.88 | 资金79,792.98
  2025-11-19→2025-11-20 | 5只 | 盈亏-832.64 | 资金78,960.34
  2025-11-20→2025-11-21 | 5只 | 盈亏+35.46 | 资金78,995.80
  2025-11-21→2025-11-24 | 5只 | 盈亏+1,300.76 | 资金80,296.56
  2025-11-24→2025-11-25 | 5只 | 盈亏+724.42 | 资金81,020.98
  2025-11-25→2025-11-26 | 5只 | 盈亏+1,031.76 | 资金82,052.74
  2025-11-26→2025-11-27 | 5只 | 盈亏-290.60 | 资金81,762.14
  2025-11-27→2025-11-28 | 5只 | 盈亏-1,554.68 | 资金80,207.46
  2025-11-28→2025-12-01 | 5只 | 盈亏-841.08 | 资金79,366.38
  2025-12-01→2025-12-02 | 5只 | 盈亏-230.90 | 资金79,135.48
  2025-12-02→2025-12-03 | 5只 | 盈亏+726.52 | 资金79,862.00
  2025-12-03→2025-12-04 | 5只 | 盈亏-883.54 | 资金78,978.46
  2025-12-04→2025-12-05 | 5只 | 盈亏+468.88 | 资金79,447.34
  2025-12-05→2025-12-08 | 5只 | 盈亏-123.76 | 资金79,323.58
  2025-12-08→2025-12-09 | 5只 | 盈亏-815.14 | 资金78,508.44
  2025-12-09→2025-12-10 | 5只 | 盈亏+212.92 | 资金78,721.36
  2025-12-10→2025-12-11 | 5只 | 盈亏-283.10 | 资金78,438.26
  2025-12-11→2025-12-12 | 5只 | 盈亏-253.76 | 资金78,184.50
  2025-12-12→2025-12-15 | 5只 | 盈亏+471.48 | 资金78,655.98
  2025-12-15→2025-12-16 | 5只 | 盈亏-736.04 | 资金77,919.94
  2025-12-16→2025-12-17 | 5只 | 盈亏+261.60 | 资金78,181.54
  2025-12-17→2025-12-18 | 5只 | 盈亏+715.16 | 资金78,896.70
  2025-12-18→2025-12-19 | 5只 | 盈亏-218.74 | 资金78,677.96
  2025-12-19→2025-12-22 | 5只 | 盈亏+211.40 | 资金78,889.36
  2025-12-22→2025-12-23 | 5只 | 盈亏-242.84 | 资金78,646.52
  2025-12-23→2025-12-24 | 5只 | 盈亏+802.62 | 资金79,449.14
  2025-12-24→2025-12-25 | 5只 | 盈亏-514.48 | 资金78,934.66
  2025-12-25→2025-12-26 | 5只 | 盈亏-654.02 | 资金78,280.64
  2025-12-26→2025-12-29 | 5只 | 盈亏+991.80 | 资金79,272.44
  2025-12-29→2025-12-30 | 5只 | 盈亏+302.60 | 资金79,575.04
  2025-12-30→2025-12-31 | 5只 | 盈亏-1,358.80 | 资金78,216.24
  2025-12-31→2026-01-05 | 5只 | 盈亏+267.62 | 资金78,483.86
  2026-01-05→2026-01-06 | 5只 | 盈亏+1,548.44 | 资金80,032.30
  2026-01-06→2026-01-07 | 5只 | 盈亏-401.46 | 资金79,630.84
  2026-01-07→2026-01-08 | 5只 | 盈亏-250.12 | 资金79,380.72
